A,B,C,D,E,F,G,H,I,J,K,L,M,N
Construction of Water System of UA-Caluya Extension,,,,559659.66,,,,,Caluya-Cabagay,11/12/18,01,,
Realignment of Waterline System,,2015-05-03.040-001,,984618.47,,,,,,42223,05,,
Construction of Water Tank and Looping of Existing Waterline in the University,,2023-05-03.040-002,,991658.4,,,,,,45275,05,,
Repair of water systen,,2023-05-03.040-003,,249854.74,,,,,,45510,05,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
