OFFICE SUPPLIES (FUR),,,,,,,,,,,,,
,,,,,,,,,,,,,
Column1,Column2,Column3,,,,,,,,,,,
Item,Description,Stock No.,,,,,,,,,,,
,,,,,,,,,,,,,
Bed,single size: 3' W x 6'3 L (91 x 190) wood Frame w/ headboard; heavy duty; color: Mahogany Brown ,001,,,,,,,,,,,
Teachers Table,w/ lock marine plywood,002,,,,,,,,,,,
Canteen Table,top formica wood base,003,,,,,,,,,,,
Fabrication of cabinet,,005,,,,,,,,,,,
Fabrication of tables,,004,,,,,,,,,,,
Fabrication of Guitar Stand,,006,,,,,,,,,,,
Fabrication of Canvas Stand,,007,,,,,,,,,,,
Fabrication of Hanger Stand,,008,,,,,,,,,,,
Office Table,"L 48"" x H 30"" w/ center drawer and three side drawers with handle",009,,,,,,,,,,,
Plotting Table,"3/4"" marine plywood top, GI Pipe full weld w/ silver paint",010,,,,,,,,,,,
Office Table,"made of solid wood, 5 drawers w/ lock; 1 cabinet w/ shutter w/ lock",011,,,,,,,,,,,
Office Table,hard wood executive table with top table,012,,,,,,,,,,,
Reception Desk,wood; drawers w/ lock; with open shelf; color; oak,013,,,,,,,,,,,
Teachers Table,"drawers stainless handle, 3/4"" marine plywood, 0.3 foot rest",014,,,,,,,,,,,
Table,"size: 30"" x 30"" table top, 30"" height; table top: laminated melamine w/ base",015,,,,,,,,,,,
Computer Table ,Portable Wheels Metal Computer Studio,016,,,,,,,,,,,
Office Table,with top glass; L-TYPE; 2 drawers and 2 cabinets; chocolate brown,017,,,,,,,,,,,
Cashiers Table,"wood, 48"" H x 22"" W x 40"" L; 1 drawer w/ lock storage area",018,,,,,,,,,,,
Visitor's Chair,"High quality fabric, solid oak wod w/ paiting frame; classic, mahogany brown",019,,,,,,,,,,,
Cleopatra Divan Sofa ,"single, leather; red",020,,,,,,,,,,,
Office Table,with 3 drawers at rigth side,021,,,,,,,,,,,
Ergonomic Writing Desk,"steel legs, wood material; 80cm x 40cm x 72cm; brown color",022,,,,,,,,,,,
Single Bed,"36 x 75, steel made",023,,,,,,,,,,,
Single Foam,"20"" x 36""",024,,,,,,,,,,,
Computer Desk Table,"2 drawers, 4 tier Booksheves, wood",025,,,,,,,,,,,
Office Chair,material-wood; wooden material-rubber wood; style-modern chinese style; ,026,,,,,,,,,,,
Cleopatra  ,"upholstered design armrest sofa, 20 x 72 inches",027,,,,,,,,,,,
Computer Table ,with keyboard tray; dimension : L69 x H119cm; maple colour,028,,,,,,,,,,,
Conference Table ,"w/ chairs, 6' boat shaped conference table ; 6 seater; table dimension:72"" W x 36"" D x29"" H; modern walnut; material: laminate MDF; 3mm PVC tough edge; 1-1/2"" thick top.",029,,,,,,,,,,,
File Cabinet,"wood, standard size",030,,,,,,,,,,,
Office Table,marine plywood; 3 drawers with lock; paint finished,031,,,,,,,,,,,
Wooden Working Table,2.40m x .60m x .75m,032,,,,,,,,,,,
Hanging Wooden Cabinet,2 layers,033,,,,,,,,,,,
Sofa Set,"upholstered with center table, 3 seater sofa, 2 single",034,,,,,,,,,,,
Office Chair,with armrest & adjustable gaslift; fabric back & seat; PVC starbase with caster ,035,,,,,,,,,,,
Wooden Industrial Side Table ,with Drawer and Open Shelf,036,,,,,,,,,,,
Sofa," - single set with foam, upholstered; W60x60x60cm; metal frame",037,,,,,,,,,,,
Teachers Table with lock,"0.5m x 0.7m x 1.2m, made of marine plywood",038,,,,,,,,,,,
Cleopatra Chair,Specs: Length 184cm; Width 72cm; Height  35cm,039,,,,,,,,,,,
Corner Shelves,"wooden, 4-5 shelves",040,,,,,,,,,,,
Book Shelves,"4 layer; brown; item size: 10x32.5x140cm; tube size: 12x24x.08mm; materials: metal tube, 30mm Hollow Board with PVC Cover",041,,,,,,,,,,,
Filling Rack,"4 layer; item size: 80x30x160cm; tube size: 16x16x0.8mm; materials: metal tube, 15mm MDF with PVC Cover",042,,,,,,,,,,,
3 Layer Aluminum Rack,with 3 doors,043,,,,,,,,,,,
Wooden Office Cabinet,"with lock file low cabinet data floor file cabinet; 2 doors, 2 cabinet",044,,,,,,,,,,,
Wooden Cabinet,2 columns; 4 rows; H: 1.80m; W: 2.40m,045,,,,,,,,,,,
Drawing Tables and Chairs,marine plywood; good lumber; chocolate brown color,046,,,,,,,,,,,
Computer Table ,"long; made of marine plywood; good lumber, chocolate brown color Table .60 x .75 x 2.40(scale 1:30mts)",047,,,,,,,,,,,
Wooden Triple Drawing Table,"with 4 dia. Galvanized legs 24"" x 36"" drawing board 36"" height",048,,,,,,,,,,,
TAble,"length of 2.4m, width 0.6m and height of 0.75m chocolate brown",049,,,,,,,,,,,
Laboratory Long Table,wood; 2.4m x 0.6m x0.75,050,,,,,,,,,,,
Bulletin Board,"with shelves and sliding glass cover, H:4 feet; W: 6 feet; color: moose green; edging: brown; shelves: 12 inches; cover: glass sliding door",051,,,,,,,,,,,
Bulletin Board, H:4 feet; W: 6 feet; color: moose green; edging: brown; shelves: 12 inches; cover: glass sliding door,052,,,,,,,,,,,
Wooden Podium Standing,60cm x 42cm x 108cm,053,,,,,,,,,,,
Teacher Desk Table,metal dimension 120cm L x 60cm W x 75cm H,054,,,,,,,,,,,
Book Case Display Cabinet ,"36*70""",055,,,,,,,,,,,
Computer Table ,wood; heavy duty; desk wood color 120cm x 45cm x 71.5cm,056,,,,,,,,,,,
Cutting Table,"with drawer; width; 40"" x 95""; Height: 34""; materials: solid wood and marine plywood",057,,,,,,,,,,,
Drawing Tables and Tools,,058,,,,,,,,,,,
Laboratory Table,with counterpart laminates; 2 x 8ft,059,,,,,,,,,,,
Office Table,wood; heavy duty; 3 drawers 1.2 x 70 x .75 meters,060,,,,,,,,,,,
Office Table,"size: w60xH76xL140; 3 drawers, mahogany color; quality; 24' x 48' x30'",061,,,,,,,,,,,
Science Laboratory Cabinet,"1.80 x 0.5 x 1.2 (LxWxH) 20mm marine plywood painted chocolate brown, 2 column",062,,,,,,,,,,,
Tent,"canopy/gazebo type, 3x3m, portable, easy set up",063,,,,,,,,,,,
Hanging Cabinet ,"with installation, dimension: 1.12m x 3.54m x 1ft; 3/47"" x 4' x 8' Marine plywood; 2 x 2 pure wood lumber; aluminum glass frame",064,,,,,,,,,,,
Hanging Display Cabinet ,"with instalation, dimension: 1.2m  x 0.3m x 0.8m, 3/4""x4'x8' Marine Plywood, 2x2 pure wood lumber",065,,,,,,,,,,,
Office Table,Dimensions: H75xW58xL120cm; 2 lockable and 2 non lockable drawer; color: gray; material:metal and wood,066,,,,,,,,,,,
