id,property_number,account_code,account_name,fund_code,fund_source,fund_number,total,item_description
20600,"2018-01-05-140-019 (1)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20601,"2018-01-05-140-019 (2)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20602,"2018-01-05-140-019 (3)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20603,"2018-01-05-140-019 (4)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20604,"2018-01-05-140-019 (5)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20605,"2018-01-05-140-019 (6)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20606,"2018-01-05-140-019 (7)",,,,,,59250.00,"Distribution Switches; 1 x switch, 24-port Gigabit Ethernet SN:"
20611,2003-101-05.990-069,,,,,,135000.00,"Advanced Digital Training System; ETS 7000"
20612,2003-101-05.990-068,,,,,,159950.00,"Digital Learning Teaching"
20613,2018-01-05-140-025,,,,,,175000.00,"Integrated Service Router; with unified communication, 1 x intergrated Service Router, with 8x5 NBD"
20614,"2018-01-05-140-022 (1)",,,,,,199700.00,"Data Center Rack, 42U; 1 x Data Center rack, 42U, 800mm (W) x 1070mm (D), 2 x Power distribution unit, Basic, OU, 16A, I"
20615,"2018-01-05-140-022 (2)",,,,,,199700.00,"Data Center Rack, 42U; 1 x Data Center rack, 42U, 800mm (W) x 1070mm (D), 2 x Power distribution unit, Basic, OU, 16A, I"
20616,2018-01-05-140-022,,,,,,200000.00,"Network attached storage; 1 x Network attached storage Appliance, 1 x 16GB RAM Module, 4 x 4TB Enterprise, Capacity HDD,"
20617,2018-01-05-140-015,,,,,,260000.00,"Printer; MFP -HP Design jet 36"""
20618,2018-01-05-140-014,,,,,,345000.00,"3D printer; Max 3D Printer; Createbot w/ accs."
20619,2018-01-05-140-023,,,,,,400000.00,"Uninterruptible Power Supply; 16.0 Kwatts/20.0 kVA Output power, capacity, 16.0KWatts/20.0 kVA Max"
20620,"2018-01-05-140-021 (1)",,,,,,500000.00,"Server with Virtualization,; 1U Rackmount; 1 x server with virtualization, 1U Rackmountable"
20621,"2018-01-05-140-021 (2)",,,,,,500000.00,"Server with Virtualization,; 1U Rackmount; 1 x server with virtualization, 1U Rackmountable"
20622,2018-01-05-140-028,,,,,,500000.00,"Environemental Monitoring System for Data Center and Automation; 1 x Server, Medium Enterprise"
20623,2018-01-05-140-029,,,,,,605000.00,"Hot-spots for students; CPU: Atheros AR7241 400MHz Network"
20624,2018-01-05-140-024,,,,,,800000.00,"Generator Set with Automatic transfer Switch; 20KVA, 240V, 3-phase"
20625,2018-01-05-140-021A,,,,,,2500000.00,"Fiber Optic Cabling; 2000 Meters, 8 Core"
