"id","classification_code","classification_name","classification_group","useful_life_years","is_active","triage_category","recommended_account_code_primary","recommended_account_code_secondary","recommended_action","mapped_account_code","mapper_notes"
"733","","Academic Affairs Building","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.010.00","User map: Building"
"948","","Accounting Building Phase II","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"949","","Accounting Building Phase III with Extra Work","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"732","","Administration Building","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.010.00","User map: Building"
"956","","Architechture Building (refurbishment)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"946","","Architecture Building & Finishing","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.020.00","User map: School Building"
"735","","BDA Building","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.010.00","User map: Building"
"959","","CEA Building-Annex","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.020.00","User map: School Building"
"903","","College Dormitory","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.990.00","User map: Other Structure"
"904","","College Grandstand","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.990.00","User map: Other Structure"
"958","","College Gym (Refurbishment of Paghiusa Hall)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"906","","Comfort Room & Powder Room","","","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.04.990.00","User map: Other Structure"
"960","","Construction of CEA Building-Annex (Contiguous)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"916","","Construction of Covered Walkway Libertad Extension Campus","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"918","","Construction of Motor Pool","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"919","","Construction of Motor Pool Phase II","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"920","","Construction of Multi-Purpose Stage @ Libertad Campus","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"923","","Construction of Phase II of Multi-Purpose Stage with Canal","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"819","","Construction of road network (pool area)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.02.990.00","User map: Land & Land Improvement"
"749","","Construction Of ROTC Office","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
"921","","Construction of Traditional Knowledge cum Evacuation Center Phase V (dressing Areaa & Comfort rooms)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"1027","","Construction of Water System of UA-Caluya Extension","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.03.040.00","User map: Water Supply System"
"1029","","Construction of Water Tank and Looping of Existing Waterline in the University","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.03.040.00","User map: Water Supply System"
"737","","Covered Gym (Cultural Center)","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.010.00","User map: Building"
"736","","Dojo Hall & Fitness Center-Phase 1","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
