id,batch_id,account_code,account_name,property_number,classification_name,item_description,brand,model,serial_no,qty_physical_count,qty_property_card,unit_cost,line_total,acquisition_date,office_name
19063,14,1.06.05.020.00,"Office Equipment",2005-01-00.000-0001-000,"Photocopier Machine","Gestetner MP 2001L; Model: D16029308; SN: E343M850304",Gestetner,D16029308,E343M850304,1,1,58000.00,58000.00,2005-07-05,
19064,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0110-000,"Safety Vault","Defender; Model 3016-B",Defender,3016-B,,1,1,82000.00,82000.00,2025-01-01,
19065,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0111-000,Aircon,"Samsung; 2.5HP Wall Mounted Inverter SN: Q0E4PDBCA00033A, Q0PNPDCD900106W",Samsung,Inverter,Q0E4PDBCA00033A,1,1,118196.00,118196.00,2025-01-01,
19066,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0112-000,Aircon,"5 tonner (Carrier) SN: 0469157",Carrier,"5 Tonner",0469157,1,1,124900.00,124900.00,2025-01-01,
19067,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0113-000,Aircon,"5 tonner (Carrier) SN: 0469068",Carrier,"5 Tonner",0469068,1,1,124900.00,124900.00,2025-01-01,
19068,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0114-000,Aircon,"5 tonner (Carrier) SN: 0469092",Carrier,"5 Tonner",0469092,1,1,124900.00,124900.00,2025-01-01,
19069,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0115-000,Aircon,"5 tonner (Carrier) SN: 0469097",Carrier,"5 Tonner",0469097,1,1,124900.00,124900.00,2025-01-01,
19070,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0116-000,Aircon,"5 tonner (Carrier) SN: 0469036",Carrier,"5 Tonner",0469036,1,1,124900.00,124900.00,2025-01-01,
19071,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0117-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G618M550097",Gestetner,MP2014AD,G618M550097,1,1,54500.00,54500.00,2025-01-01,
19072,14,1.06.05.020.00,"Office Equipment",2025-01-00.000-0118-000,"Photocopier Machine","with ARDF; Gestetner MP2014AD SN: G618M550098",Gestetner,MP2014AD,G618M550098,1,1,54500.00,54500.00,2025-01-01,
