id,batch_id,account_code,item_description,brand,model,serial_no,qty_physical_count,unit_cost,line_total_db,line_total_normalized,remarks
19063,14,1.06.05.020.00,"Gestetner MP 2001L; Model: D16029308; SN: E343M850304",Gestetner,D16029308,E343M850304,1,58000.00,58000.00,58000.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19064,14,1.06.05.020.00,"Defender; Model 3016-B",Defender,3016-B,,1,82000.00,82000.00,82000.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19065,14,1.06.05.020.00,"Samsung; 2.5HP Wall Mounted Inverter SN: Q0E4PDBCA00033A, Q0PNPDCD900106W",Samsung,Inverter,Q0E4PDBCA00033A,2,118196.00,236392.00,118196.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19066,14,1.06.05.020.00,"5 tonner (Carrier) SN: 0469157",Carrier,"5 Tonner",0469157,1,124900.00,124900.00,124900.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19067,14,1.06.05.020.00,"5 tonner (Carrier) SN: 0469068",Carrier,"5 Tonner",0469068,1,124900.00,124900.00,124900.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19068,14,1.06.05.020.00,"5 tonner (Carrier) SN: 0469092",Carrier,"5 Tonner",0469092,1,124900.00,124900.00,124900.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19069,14,1.06.05.020.00,"5 tonner (Carrier) SN: 0469097",Carrier,"5 Tonner",0469097,1,124900.00,124900.00,124900.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19070,14,1.06.05.020.00,"5 tonner (Carrier) SN: 0469036",Carrier,"5 Tonner",0469036,1,124900.00,124900.00,124900.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19071,14,1.06.05.020.00,"with ARDF; Gestetner MP2014AD SN: G618M550097",Gestetner,MP2014AD,G618M550097,1,54500.00,54500.00,54500.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19072,14,1.06.05.020.00,"with ARDF; Gestetner MP2014AD SN: G618M550098",Gestetner,MP2014AD,G618M550098,1,54500.00,54500.00,54500.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19073,14,1.06.05.020.00,"with ARDF; Gestetner MP2014AD SN: G617M950034",Gestetner,MP2014AD,G617M950034,1,54500.00,54500.00,54500.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19074,14,1.06.05.020.00,"with ARDF; Gestetner MP2014AD SN: G617M950386",Gestetner,MP2014AD,G617M950386,1,54500.00,54500.00,54500.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
19075,14,1.06.05.020.00,"with ARDF; Gestetner MP2014AD SN: G618M550094",Gestetner,MP2014AD,G618M550094,1,54500.00,54500.00,54500.00,"Marked: RPCPPE 2025 submitted to Accounting (2026-04-13) | RPCPPE_2025_LIST"
