id,property_number,item_description,account_code,account_name,fund_source,unit_cost,acquisition_date,office_id
3719,2025-01-01.010-0001-000,"Lot No. 683 - 272 sq. meters @ P0.28/sq.m.",1.06.01.010.00,Land,01,111520.00,,
3720,2025-01-01.010-0002-000,"Lot No. 690 - 225 sq. meters @ P0.19/sq.m.",1.06.01.010.00,Land,01,81000.00,,
3721,2025-01-01.010-0003-000,"Lot No. 684 - 284 sq. meters @ P0.20",1.06.01.010.00,Land,01,116440.00,,
3722,2025-01-01.010-0004-000,"Lot No. 675 - 29,544 sq. meters @ P0.04",1.06.01.010.00,Land,01,3610749.20,,
3723,2025-01-01.010-0005-000,"Lot No. 691 - 1767 sq. meters @ P0.20/sq.m.",1.06.01.010.00,Land,01,636120.00,,
3724,2025-01-01.010-0006-000,"Lot No. 680 - 1554 sq. meters @ P0.14/sq.m.",1.06.01.010.00,Land,01,637140.00,,
3725,2025-01-01.010-0007-000,"Lot No. 679 - 42,685 sq. meters @ P0.12/sq.m.",1.06.01.010.00,Land,01,15366600.00,,
3726,2025-01-01.010-0008-000,"Lot No. 8863 - 6310 sq. meters @ P0.10/sq.m.",1.06.01.010.00,Land,01,2587100.00,,
3727,2025-01-01.010-0009-000,"Lot No. 682 - 213 sq. meters @ P0.14/sq.m.",1.06.01.010.00,Land,01,87330.00,,
3728,2025-01-01.010-0010-000,"Lot No. 8864 - 2142 sq. meters @ P0.10/sq.m.",1.06.01.010.00,Land,01,771120.00,,
3729,2025-01-01.010-0011-000,"Lot No. 674 - 9577 sq. meters @ P0.30/sq.m.",1.06.01.010.00,Land,01,517816.80,,
3730,2015-05-01.010-0001-000,"Title No. N-4814 8,670 sq. m.",1.06.01.010.00,Land,05,12000000.00,2015-07-20,
3950,2025-05-01.010-0001-000,"8,670 sq. m.",1.06.01.010.00,Land,05,12000000.00,,
3731,2004-01-02.990-0001-000,"70 Span 3 x 3 meters ( repaired 325.64 sq. m. 5/10/2024)",1.06.02.990.00,"Other Land Improvements",01,1789757.60,2004-01-01,
3732,2004-01-02.990-0002-000,"81 x 156 sq. m.",1.06.02.990.00,"Other Land Improvements",01,898000.00,2004-01-01,
3733,2004-01-02.990-0003-000,Roadway,1.06.02.990.00,"Other Land Improvements",01,847560.00,2004-01-01,
3734,2018-01-02.990-0001-000,"6,048 sq.m",1.06.02.990.00,"Other Land Improvements",01,8851483.33,2018-06-26,
3735,2018-01-02.990-0002-000,"0.072 sq.m",1.06.02.990.00,"Other Land Improvements",01,148466.98,2018-06-26,
3736,2024-01-02.990-0001-000,"1250 sq.m.",1.06.02.990.00,"Other Land Improvements",01,24999784.35,2024-12-02,
3946,1204-05-02.990-0001-000,"327 sq.m.",1.06.02.990.00,"Other Land Improvements",05,188393.42,1204-02-12,
3737,2005-05-02.990-0001-000,"Drainage System",1.06.02.990.00,"Other Land Improvements",05,1834126.13,2005-08-07,
3739,2018-05-02.990-0001-000,"Const of pavement, pathwalk & drainage - A=230 sq.m.; front of Supply Office (9/21/18)",1.06.02.990.00,"Other Land Improvements",05,2031404.31,2018-09-21,
3742,2020-05-02.990-0001-000,"Land Improvement form Architecture Building to Gate 3 (Provision for Pathwalk)",1.06.02.990.00,"Other Land Improvements",05,375945.29,2020-06-05,
3743,2023-05-02.990-0001-000,"Landscaping of Old GEB Lawn - A=1,026.42 sq.m.",1.06.02.990.00,"Other Land Improvements",05,1909677.54,2023-11-22,
3744,2024-05-02.990-0001-000,"Landscaping at the front of perimeter fence along national road (carabao grass front of center gate) - 327 sq.m.",1.06.02.990.00,"Other Land Improvements",05,188393.42,2024-02-12,
3745,2024-05-02.990-0002-000,"Construction of road network (pool area) - 749 sq.m. w/ slope protection",1.06.02.990.00,"Other Land Improvements",05,2803675.72,2024-11-11,
3746,2024-05-02.990-0003-000,"Construction of sports training center phase 2 (retaining wall north side) - 299.3 sq. m.",1.06.02.990.00,"Other Land Improvements",05,995668.66,2024-11-11,
3747,2024-05-02.990-0004-000,"Perimeter fence and drainage system along national road phase IV (shed extension and walk rays)-Repair - 274.434 sq.m.; front gate",1.06.02.990.00,"Other Land Improvements",05,795891.77,2024-08-15,
3740,2025-05-02.990-0001-000,"Const of pavement, pathwalk & drainage - A=320 sq.m.; front of UA Canteen (9/21/18)",1.06.02.990.00,"Other Land Improvements",05,0.00,,
3741,2025-05-02.990-0002-000,"Const of pavement, pathwalk & drainage - A=962 sq.m.; front of old GEB to Gate-2",1.06.02.990.00,"Other Land Improvements",05,0.00,,
3945,2025-05-02.990-0003-000,"A=1,028.42 sq.m.",1.06.02.990.00,"Other Land Improvements",05,1909677.54,,
3947,2025-05-02.990-0004-000,"749 sq.m. w/ slope protection",1.06.02.990.00,"Other Land Improvements",05,2803675.72,,
3948,2025-05-02.990-0005-000,"299.3 sq. m.",1.06.02.990.00,"Other Land Improvements",05,995668.66,,
3949,2025-05-02.990-0006-000,"274.434 sq.m. ; front gate",1.06.02.990.00,"Other Land Improvements",05,795891.77,,
3738,2026-05-02.990-0001-000,"Rehab of UA drainage (side of Covered Gym) 2nd payment",1.06.02.990.00,"Other Land Improvements",05,1316688.58,2026-04-13,
3752,2025-01-03.050-0001-000,"Installation of additional 17 units Lamp Posts w/ solar powered light",1.06.03.050.00,"Power Supply Systems",01,344000.00,,
3753,2025-01-03.050-0002-000,"Installation of transformer, generator set (Libertad Extension) and rehabilitation fo electrical system (Phase-2,Main Campus)",1.06.03.050.00,"Power Supply Systems",01,1456170.92,,
3754,2025-01-03.050-0003-000,"75KVA, 1 phase, 120/240V, 7620/12300, 60Hz, branded with complete accessories with testing and other necessary tools and materials needed for testing; GMD",1.06.03.050.00,"Power Supply Systems",01,510000.00,,
3755,2025-01-03.050-0004-000,"75KVA, 1 phase, 120/240V, 7620/12300, 60Hz, branded with complete accessories with testing and other necessary tools and materials needed for testing; GMD",1.06.03.050.00,"Power Supply Systems",01,1200000.00,,
3756,2025-01-03.050-0005-000,"AUTOMATIC TRANSFER SWITCH-1250AT, 3 phase, molded case circuit breaker, draw out type, 65kaic, 240V MEMA3R; GMD",1.06.03.050.00,"Power Supply Systems",01,410000.00,,
3757,2025-01-03.050-0006-000,"15KVA, dry type floor mounted, 3 phase, 220V output, 60Hz with complete accessories and with testing and commissioning; GMD",1.06.03.050.00,"Power Supply Systems",01,110000.00,,
3759,2024-05-03.050-0001-000,"Rewiring at Second Floor of the Technology Building",1.06.03.050.00,"Power Supply Systems",05,1972658.89,2024-12-16,
3758,2025-05-03.050-0001-000,"Phase 1, DIESEL Generator set, KiKio KOC200X-III, 200KVA SN: K240915001: Zgenpower",1.06.03.050.00,"Power Supply Systems",05,6470785.67,,
3772,1975-05-04.010-0001-000,"2-storey; 238.68 sq.m.",1.06.04.010.00,Buildings,05,2489735.51,1975-01-28,
3762,2025-05-04.010-0001-000,343.05sq.m.,1.06.04.010.00,Buildings,05,517687.55,,
