fund_code,fund_source,fund_number,account_code,account_name,rows,total_amount
(blank),(blank),(blank),(blank),(blank),120,16051712.73
DA1,07,7,1.06.04.010.00,Buildings,1,9954264.93
DA1,07,7,1.06.05.010.00,Machinery,1,200000.00
DA1,07,7,1.06.05.020.00,"Office Equipment",1,369634.00
DA1,07,7,1.06.05.140.00,"Technical and Scientific Equipment",59,89410564.00
DA1,07,7,1.06.07.010.00,"Furniture and Fixtures",10,654720.00
FPSY,05,5,1.06.01.010.00,Land,1,12000000.00
FPSY,05,5,1.06.02.990.00,"Other Land Improvements",11,12251471.42
FPSY,05,5,1.06.03.040.00,"Water Supply Systems",3,2226131.61
FPSY,05,5,1.06.03.050.00,"Power Supply Systems",7,11015424.21
FPSY,05,5,1.06.04.010.00,Buildings,31,47229070.55
FPSY,05,5,1.06.04.020.00,"School Buildings",17,52581550.67
FPSY,05,5,1.06.05.010.00,Machinery,26,6955659.84
FPSY,05,5,1.06.05.020.00,"Office Equipment",26,3482954.78
FPSY,05,5,1.06.05.030.00,"Information and Communication Technology Equipment",204,24074668.78
FPSY,05,5,1.06.05.070.00,"Communication Equipment",10,3015272.52
FPSY,05,5,1.06.05.090.00,"Disaster Response and Rescue Equipment",4,415000.00
FPSY,05,5,1.06.05.110.00,"Medical Equipment",1,56350.00
FPSY,05,5,1.06.05.130.00,"Sports Equipment",2,264800.00
FPSY,05,5,1.06.05.140.00,"Technical and Scientific Equipment",109,47565361.40
FPSY,05,5,1.06.05.990.00,"Other Machinery and Equipment",57,10897883.28
FPSY,05,5,1.06.06.010.00,"Motor Vehicles",9,13603150.00
FPSY,05,5,1.06.07.010.00,"Furniture and Fixtures",49,16388973.32
FPSY,05,5,1.08.01.020.00,"Computer Software",14,10561847.00
GAA-AEP,01,1,1.06.01.010.00,Land,11,24522936.00
GAA-AEP,01,1,1.06.02.990.00,"Other Land Improvements",6,37535052.26
GAA-AEP,01,1,1.06.03.040.00,"Water Supply Systems",1,559659.66
GAA-AEP,01,1,1.06.03.050.00,"Power Supply Systems",7,4688170.92
GAA-AEP,01,1,1.06.04.010.00,Buildings,13,146379514.73
GAA-AEP,01,1,1.06.04.020.00,"School Buildings",17,181058566.73
GAA-AEP,01,1,1.06.04.990.00,"Other Structures",13,26862983.60
GAA-AEP,01,1,1.06.05.010.00,Machinery,44,11853860.00
GAA-AEP,01,1,1.06.05.020.00,"Office Equipment",154,14980904.00
GAA-AEP,01,1,1.06.05.030.00,"Information and Communication Technology Equipment",155,25306747.00
GAA-AEP,01,1,1.06.05.070.00,"Communication Equipment",5,391800.00
GAA-AEP,01,1,1.06.05.090.00,"Disaster Response and Rescue Equipment",9,889920.00
GAA-AEP,01,1,1.06.05.130.00,"Sports Equipment",6,464600.00
GAA-AEP,01,1,1.06.05.140.00,"Technical and Scientific Equipment",51,19159114.48
GAA-AEP,01,1,1.06.05.990.00,"Other Machinery and Equipment",57,14859918.75
GAA-AEP,01,1,1.06.06.010.00,"Motor Vehicles",1,1640000.00
GAA-AEP,01,1,1.06.07.010.00,"Furniture and Fixtures",1,923555.99
GAA-AEP,01,1,1.08.01.020.00,"Computer Software",24,7000000.00
IGP,06,6,1.06.05.030.00,"Information and Communication Technology Equipment",1,55000.00
IGP,06,6,1.06.05.990.00,"Other Machinery and Equipment",1,347440.00

TOTAL,,,,,1350,910706209.16
