id,property_number,total,serial_no,item_description
18705,2025-01-00.000-0002-032,52000.00,,"Origin: Italy"
18803,2025-01-00.000-0003-013,126500.00,,"16 Bit Micro Controller 80C 196 KC Emulation"
18806,2025-01-00.000-0004-013,135000.00,,"ETS 7000"
18828,2025-01-00.000-0004-032,233500.00,1105683.24,"Origin: Italy: DL 1893; SN: 1105683.24"
18833,2025-01-00.000-0006-032,345000.00,,"Max 3D Printer; Createbot w/ accs."
19403,2025-01-00.000-0171-000,55000.00,902,"Rubinair 3/4HP M-15142; S/N: 902"
19407,2025-01-00.000-0173-000,90000.00,"16213 (Taiwan)","3HP M-IM525B SN:16213 (Taiwan)"
19414,2025-01-00.000-0039-021,80000.00,,
19415,2025-01-00.000-0040-021,130000.00,,"manually operated (for bending & pressing machine)"
19416,2025-01-00.000-0041-021,90000.00,,"Direct Reading USA"
19419,2001-01-00.000-0001-021,200000.00,,USA
19420,2025-01-00.000-0044-021,225000.00,,"Electro-Mechanical Rotary"
19424,2025-01-00.000-0178-000,136000.00,0482,"Model:lg-650; S/N:0482"
19433,2025-01-00.000-0035-032,657000.00,1201317.6,"for rotating Electric Machines; DL: 10280; SN: 1201317.6"
19434,2025-01-00.000-0036-032,464000.00,1301236.2,"Origin: Italy; DL 100616; SN: 1301236.2"
19435,2025-01-00.000-0037-032,342000.00,1303798.6,"Origin: Italy; DL 10060N; SN: 1303798.6"
19436,2025-01-00.000-0038-032,217500.00,1303276.20,"Origin: Italy; DL 10283; SN: 1303276.20"
19437,2025-01-00.000-0039-032,76000.00,1601301.1,"Origin: Italy DL 10100; SN: 1601301.1"
19438,2025-01-00.000-0040-032,190500.00,1500742.3,"Origin: Italy: DL: 10125; SN: 1500742.3."
19440,2025-01-00.000-0042-032,326500.00,1401230.11,"Origin: Italy: DL 10300A; SN: 1401230.11"
19441,2025-01-00.000-0043-032,127500.00,,"Origin: Italy"
19443,2025-01-00.000-0045-032,421500.00,1203954.4,"Origin: Italy: DL 10050; SN: 1203954.4"
19447,2025-01-00.000-0047-032,175000.00,,(UsewIndia)
19448,2025-01-00.000-0048-032,250000.00,"10181810 with 1 unit Motorized Antenna Unit","Scientech SN: 10181810 with 1 unit Motorized Antenna Unit; SCIENCETECH 2261A; SN: 1018487"
19604,2016-01-00.000-0001-000,100000.00,,"with Chairs 80""x36""x36"""
19605,2025-01-00.000-0195-000,100000.00,,"with Chairs 80""x36""x36"""
19606,2025-01-00.000-0196-000,100000.00,,"with Chairs 80""x36""x36"""
19607,2025-01-00.000-0197-000,100000.00,,"with Chairs 80""x36""x36"""
19608,2025-01-00.000-0198-000,70000.00,,"with sink , Dimension 49"" L x 24"" W x 36"" H"
19609,2025-01-00.000-0199-000,70000.00,,"with sink , Dimension 49"" L x 24"" W x 36"" H"
19610,2025-01-00.000-0050-032,770991.00,10169,"Model: KX1S-SEIG, CNC with Transparent shield, SN: 10169"
19611,2025-01-00.000-0051-032,205000.00,,"FM 100F"
19612,2025-01-00.000-0052-032,150000.00,,"FM 02"
19613,2025-01-00.000-0053-032,240000.00,,FM17
19614,2025-01-00.000-0054-032,105000.00,,FM08A
19615,2025-01-00.000-0055-032,280000.00,,FM03
19616,2025-01-00.000-0056-032,310000.00,,FM18
19617,2025-01-00.000-0057-032,217000.00,,FM23
19618,2025-01-00.000-0058-032,212000.00,,FM04
19619,2025-01-00.000-0200-000,586000.00,K625300164,"Kjeldal Analyzer( Hano Instruments) Model: K9860; SN: K625300164"
19620,2025-01-00.000-0201-000,248000.00,SX425300170,"(FAT ANALYZER) SOX406; Model: K9860; SN: SX425300170"
19621,2025-01-00.000-0202-000,250000.00,HK00021013,"Biobase; Model: BWA-6; SN: HK00021013"
19622,2025-01-00.000-0203-000,240000.00,,"Model: DV-1+PRO NO SN:"
19623,2025-01-00.000-0204-000,508000.00,F225280069,"Brand: Hanon SN: F225280069"
19624,2025-01-00.000-0205-000,185000.00,BKQB1001121025005,"Biobase Model: BKQ-B100II; SN: BKQB1001121025005"
19625,2025-01-00.000-0206-000,135000.00,S21P112-01,"Digital Model: DMF-03 SN: S21P112-01"
19626,2025-01-00.000-0207-000,94000.00,11159278,"PCE-CSM 1, Brand: PCE SN: 11159278"
19627,2025-01-00.000-0208-000,235000.00,T8625280097,"Brand: Biobase, Model: BK-PT860, SN: T8625280097"
19628,2020-01-00.000-0001-000,75200.00,11005240177,"Brand: HANNA Model: HI5221-02 SN: 11005240177"
19629,2025-01-00.000-0209-000,63995.00,2100071,"Brand: Opto Edu; Model: A12.6603-T SN: 2100071"
19630,2025-01-00.000-0210-000,170000.00,D207304176,"Brand: Shimadzu; Model: MOC-120H SN: D207304176"
